"filename", "language", "Properties", "Groovy", "XML", "JSON", "Dart", "YAML", "Markdown", "HTML", "Swift", "C++", "comment", "blank", "total"
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 1, 1, 38
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 1, 1, 27
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\constants\data.dart", "Dart", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\data\boxes.dart", "Dart", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 2, 3, 14
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\data\dataproviders\auth.dart", "Dart", 0, 0, 0, 0, 111, 0, 0, 0, 0, 0, 3, 6, 120
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\data\dataproviders\reminder_dataProvider.dart", "Dart", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 1, 6, 24
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\data\dataproviders\report_dataProvider.dart", "Dart", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 1, 5, 24
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\data\dataproviders\workoutPlan_dataProvider.dart", "Dart", 0, 0, 0, 0, 264, 0, 0, 0, 0, 0, 11, 13, 288
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\data\dataproviders\workout_dataProvider.dart", "Dart", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 2, 8, 32
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\data\models\day\day.dart", "Dart", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 1, 5, 19
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\data\models\exercise\exercise.dart", "Dart", 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 1, 8, 57
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\data\models\exercise\exercise.g.dart", "Dart", 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 4, 8, 62
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\data\models\models.dart", "Dart", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\data\models\reminder\reminder.dart", "Dart", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 3, 13
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\data\models\reminder\reminder.g.dart", "Dart", 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 4, 8, 44
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\data\models\report\report.dart", "Dart", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 1, 4, 22
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\data\models\report\report.g.dart", "Dart", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 4, 8, 50
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\data\models\user\roles.dart", "Dart", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\data\models\user\user.dart", "Dart", 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 5, 68
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\data\models\workoutPlan\workout_plan_response.dart", "Dart", 0, 0, 0, 0, 131, 0, 0, 0, 0, 0, 17, 22, 170
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\data\models\workout\workout.dart", "Dart", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 2, 6, 30
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\data\models\workout\workout.g.dart", "Dart", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 4, 8, 50
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\data\repositories\reminder_repository.dart", "Dart", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 1, 5, 20
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\data\repositories\report_repository.dart", "Dart", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 1, 4, 17
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\data\repositories\user_repository.dart", "Dart", 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 6, 9, 76
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\data\repositories\workout_plan_repository.dart", "Dart", 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 4, 12, 86
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\data\repositories\workout_repository.dart", "Dart", 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 3, 6, 61
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\logic\bloc\auth_bloc\auth.dart", "Dart", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\logic\bloc\auth_bloc\auth_bloc.dart", "Dart", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 1, 5, 42
